ACCE_ABSORB	Bónusz abszorpció
GUILD_GRADE_PERMISSION_NOTICE	Írhat céhüzenetet
GUILD_GRADE_PERMISSION_SKILL	Céh-készségek
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Írni
GUILD_INFO	Céh információ
GUILD_INFO_CUR_EXP	Tapasztalat
GUILD_INFO_DECALRE_WAR	Hadat üzen
GUILD_INFO_ENEMY_GUILD	Ellenséges céh
GUILD_INFO_ENEMY_GUILD_EMPTY	Semennyi
GUILD_INFO_LEVEL	Céh-szint
GUILD_INFO_MARK	Céh jel
GUILD_INFO_MASTER	Vezetõ
GUILD_INFO_MASTER_VALUE	Vezetõ
GUILD_INFO_MEMBER_AVG_LEVEL	Átlagos Szint
GUILD_INFO_MEMBER_NUM	Tagok száma
GUILD_INFO_NAME	Céh név
GUILD_INFO_NAME_VALUE	Ez egy céh név
GUILD_INFO_OFFER_EXP	Befektet
GUILD_INFO_REST_EXP	Szükséges tapasztalat
GUILD_INFO_UPLOAD_MARK	Jel feltöltés
GUILD_INFO_UPLOAD_SYMBOL	Zászló feltöltés
GUILD_MARK	Céh jel
GUILD_MEMBER_JOB	Osztály
GUILD_MEMBER_KNIGHT	Bajtárs
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Név
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Befektet.
GUILD_METIN_STONE	Szellemkõ
GUILD_MINENAL	Ásvány
GUILD_MONEY	Yang
GUILD_NAME	Céh
GUILD_RESOURCE_INFO	Forrás információk
GUILD_SKILLPAGE_LADDER	Rangpontok
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Aktív
GUILD_SKIlL_HEAL_GSP	Feltölteni
GUILD_SKILL_PASSIVE	Passzív
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Céh képesség
GUILD_SYMBOL	Céh zászló
GUILD_WAR_ACCEPT	Céh hadüzenet elfogadása
GUILD_WAR_ALLSCORE	Minden háború
GUILD_WAR_BATTLE_TYPE	Harci mód
GUILD_WAR_CTF	Zászló
GUILD_WAR_DECLARE	Céh háborút kinyilvánít
GUILD_WAR_ENEMY	Ellenség
GUILD_WAR_GAINSCORE	Pontok
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Csata ideje
GUILD_WAR_GAMETIME_SIXTY	60 perc
GUILD_WAR_GAMETIME_TEN	10 perc
GUILD_WAR_GAMETIME_THIRTY	30 perc
GUILD_WAR_JOINMEMBER	Tagok
GUILD_WAR_JOINMEMBER_COUNT	Tagok
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Harcmezõ
GUILD_WAR_REPORT	Csatajelentés
GUILD_WAR_REPORTLIST	Áttekintés (Csaták: Cs, Gyõzelmek: Gy, Vereségek: V, Döntetlenek: D)
GUILD_WAR_SCORE	Csatajelentés
GUILD_WAR_SKILL	Céh-készségek
GUILD_WAR_TYPE_DEFENSE	Pajzs-harc
GUILD_WAR_TYPE_DIE	Aréna-harc
GUILD_WAR_TYPE_FLAG	Kapd el a zászlót
GUILD_WAR_TYPE_NORMAL	Mezei harc
GUILD_WAR_TYPE_TIGER	Megsemmisítés
GUILD_WAR_TYPE_TIME	Támadás idõre
GUILD_WAR_WARP	Aréna
GUILD_WAR_WIN	Menetek
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Víz
GUILD_WATER_STONE	Aqua kõ
GUILD_WITHDRAW	Kivon
HELP_ATTACK_KEY	Támadás: bal egérgomb vagy szóköz billentyû
HELP_CHANGE_PK_MODE	Támadási mód váltás: bal egérgomb beállítása
HELP_CHARACTER_BUTTON1	(Karakter ablak, Leltár ablak,
HELP_CHARACTER_BUTTON2	Barátlista és Beállítások)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Alapértelmezett kameraállás: középsõ egérgomb
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Alternatív kameraállás: hozzárendelés a jobb vagy bal egérgombhoz
HELP_EXP	Tapasztalat
HELP_FURY	Játékbeli tárgy piac
HELP_GUILD_WINDOW	Céh ablak megnyitása: Alt+G
HELP_HELP	Segítség megmutatása: H
HELP_HP	Életerõ (TP)
HELP_MESSENGER_WINDOW	Barátlista megnyitása: Alt+M
HELP_MOUSE_LEFT	Bal egérgomb funkció
HELP_MOUSE_RIGHT	Jobb egérgomb funkció
HELP_MOVE_KEY	Vezérlés: W, A, S, D, vagy nyíl billentyûk
HELP_OPEN_CHARACTER	Karakter ablak megnyitása: C
HELP_OPEN_CHAT	Cset ablak megnyitása: Enter
HELP_OPEN_INVENTORY	Leltár ablak megnyitása: I
HELP_OPEN_LOG	Cset-log megnyitása: L
HELP_OPEN_MINIMAP	Mini térkép megnyitása: Shift + M
HELP_OPEN_QUEST	Feladat ablak megnyitása: N
HELP_OPEN_SKILL	Képesség ablak megnyitása: V
HELP_OPEN_WHISPER	Suttogás ablak megnyitása: Shift + Enter
HELP_OPEN_ZONEMAP	Nagy térkép megnyitása: M
HELP_PICK_ITEM	Tárgyak összegyûjtése: ^ vagy Y billentyû, vagy bal egérgomb
HELP_QUICKSLOT	Gyors elérési mezõk
HELP_SCREEN_CAPTURE	Képernyõkép mentése: Nyomtatás (a "Metin2\screenshot" könyvtárban lesz elmentve egy fájlba)
HELP_SHOW_ALL_NAME	Nevek megmutatása: Alt
HELP_SP	Mana pontok (MP)
HELP_SYSTEM_BUTTON	Rendszer billentyûk
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. leltár
INVENTORY_TITLE	Leltár
ITEM_MALL	Tárgy piac
LOAD_ERROR	Az adatfájl megsérült. Installáld újra a klienst. Nyomd meg az ESC gombot.
LOGIN_CONNECT	Csatlakozik
LOGIN_CONNECTING	A szerverhez leszel kapcsolva.
LOGIN_DEFAULT_SERVERADDR	Szervernév, 1. csatorna
LOGIN_EXIT	Bezár
LOGIN_REGION_TITLE	Számlakibocsátás helyszíne
LOGIN_SELECT_BUTTON	Választ
LOGIN_SELECT_EXIT	Bezár
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Szervert választ
MALL_PASSWORD_TITLE	Jelszó
MALL_TITLE	Tárgypiac raktár
MARKET_TITLE	Betölt
MARKLIST_REFRESH	Aktualizál
MARKLIST_TITLE	Céh jelet regisztrál
MESSAGE	Ez egy üzenet
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_DELETE_FRIEND	Töröl
MESSENGER_MOBILE	SMS köldés
MESSENGER_OPEN_GUILD	Céh ablak nyitás
MESSENGER_TITLE	Barát
MESSENGER_USE_GUILD_MOVE_SKILL	Használd a céh mozgatókészséget
MESSENGER_WHISPER	Súgó
MINIMIZE	Minimalizál
MOUSEBUTTON_ATTACK	Támad
MOUSEBUTTON_AUTO_ATTACK	Automatikus támadás
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Készség
MUSICLIST_TITLE	Zene választás
NO	Nem
OK	OK
OPTION_ALWAYS_SHOW_NAME	Név
OPTION_ALWAYS_SHOW_NAME_OFF	Korlátozott
OPTION_ALWAYS_SHOW_NAME_ON	Mindig
OPTION_BLOCK	Letilt
OPTION_BLOCK_EXCHANGE	Kereskedés
OPTION_BLOCK_FRIEND	Barátok
OPTION_BLOCK_GUILD	Céh
OPTION_BLOCK_PARTY	Csoport
OPTION_BLOCK_PARTY_REQUEST	Kérés
OPTION_BLOCK_WHISPER	Súgás
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Távoli
OPTION_CAMERA_DISTANCE_SHORT	Közeli
OPTION_DELETE_MOBILE_BUTTON	Telefonszám törlés
OPTION_EFFECT	Találati info.
OPTION_FOG	Köd
OPTION_FOG_DENSE	Sok
OPTION_FOG_LIGHT	Kevés
OPTION_FOG_MIDDLE	Közepes
OPTION_INPUT_MOBILE_BUTTON	Mobiltelefonszám megadása
OPTION_MOBILE	Mobiltelefon
OPTION_MUSIC	Zene
OPTION_MUSIC_CHANGE	Váltani
OPTION_MUSIC_DEFAULT_THEMA	Metin2 alap zene
OPTION_NAME_COLOR	Szín név
OPTION_NAME_COLOR_EMPIRE	Birod. Szín
OPTION_NAME_COLOR_NORMAL	Normális
OPTION_PVPMODE	PvP Mód
OPTION_PVPMODE_FREE	Szabad
OPTION_PVPMODE_FREE_TOOLTIP	Minden játékost megtámadhatsz.
OPTION_PVPMODE_GUILD	Céh
OPTION_PVPMODE_GUILD_TOOLTIP	Céhtagokat kivéve minden játékost megtámadhatsz.
OPTION_PVPMODE_PEACE	Béke
OPTION_PVPMODE_PEACE_TOOLTIP	Nem támadhatod meg a saját birodalmad játékosait.
OPTION_PVPMODE_REVENGE	Ellenség
OPTION_PVPMODE_REVENGE_TOOLTIP	Csak eltérõ világképû játékost támadhatsz meg.
OPTION_SOUND	Hatás
OPTION_TARGET_BOARD	Cél menü
OPTION_TARGET_BOARD_NO_VIEW	Bezár
OPTION_TARGET_BOARD_VIEW	Megmutat
OPTION_TILING	Grafika
OPTION_TILING_APPLY	Felhasznál
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opciók
OPTION_VIEW_CHAT	Cset sor
OPTION_VIEW_CHAT_OFF	Elrejt
OPTION_VIEW_CHAT_ON	Mutat
PARTY_MEMBER_INFO_NAME	Csoporttárs neve
PASSWORD_DESC_1	Írd be a jelszavad
PASSWORD_DESC_2	a raktár megnyitásához.
PASSWORD_DESC_3	Megváltoztattad már a jelszavad?
PASSWORD_DESC_4	Ha még nem, a jelszavad "000000" lesz.
PASSWORD_DESC_5	Változtasd meg a jelszavad a raktárban.
PASSWORD_TITLE	Jelszó mentés
PICK_MONEY_TITLE	Feloszt
PRIVATE_SHOP_CLOSE_BUTTON	Bolt zárás
PRIVATE_SHOP_NAME	Bolt neve
PRIVATE_SHOP_TITLE	Magán bolt nyitás
OFFLINE_SHOP_CREATE_TITLE	Offline bolt készítése
REFINE_COST	Javítási költségek: 0 Yang
REFINE_INFO	Esély a sikeres javításra: 100%
REFINE_TTILE	Javítások
REPORT_VIOLENT_WHISPER	Sneak
RESTART_HERE	Újraindít itt
RESTART_TOWN	Újraindít a városban
SAFE_CHANGE_PASSWORD	Jelszó változtatás
SAFE_TITLE	Tárolóhely
SELECT_ATT_GRADE	ERÕ
SELECT_CREATE	Létrehoz
SELECT_DELETE	Töröl
SELECT_DEX_GRADE	ÜGY
SELECT_EMPIRE_NAME	Birodalom neve
SELECT_EXIT	Bezár
SELECT_HP	VIT
SELECT_LEVEL	Szint
SELECT_METIN_STONE_TITLE	Szellemkõ választás
SELECT_NAME	Név
SELECT_NO_GUILD	Nincs céh
SELECT_PLAYTIME	Játékidõ
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Cím választás
SHOP_BUY	Vásárol
SHOP_SELL	Elad
SHOP_TITLE	Bolt
SKILL_SUPPORT_TITLE	Standard készségek
SYSTEMOPTION_TITLE	Rendszer opciók
SYSTEM_CHANGE	Karakter csere
SYSTEM_EXIT	Játék befejezés
SYSTEM_HELP	Segítség
SYSTEM_LOGOUT	Kilépés
SYSTEM_MALL	Tárgy piac
SYSTEM_OPTION	Rendszer opciók
TASKBAR_MONEY	Pénz sáv
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Cset ablak [Enter]
TASKBAR_DISABLE	Kikapcsolva
TASKBAR_EXPAND	Meghosszabbítás
TASKBAR_INVENTORY	Leltár [I]
TASKBAR_MESSENGER	Barátok [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Következõ gyors elérésû mezõ [Shift+Szám, Alt]
TASKBAR_PREV_QUICKSLOT	Elõzõ gyors elérésû mezõ [Shift+Szám]
TASKBAR_SYSTEM	Opciók [ESC]
WHISPER_BAN	Letiltás
WHISPER_NAME	Suttogás
WHISPER_REPORT	jelent
WHISPER_SEND	Küld
YES	Igen
ZONE_MAP	Nagy térkép
INVENTORY_SORT	Rendez
GUILD_SAFE_TITLE	Céhraktár
GUILD_SAFEBOX_MONEY_TITLE	Céhraktár - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	Mennyi yangot szeretnél berakni vagy kivenni?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Berak
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Kivesz
GUILD_SAFE_LOG_TITLE	Céhraktár log
GUILD_SAFE_LOG_BUTTON	Log
ACCOUNT_PASSWORD_Q	Elfelejtetted?
BDAY_EVENT_DESC_D1	Öld meg a legtöbb bossszörnyet
ACCOUNT_USERNAME_Q	Elfelejtett felhasználónév?
ACCOUNT_REGISTER	Regisztrálnál?
ACCOUNT_REGISTER_Q	Nincs még felhasználód?
ACCOUNT_CHANNEL	Channel %d
ACCOUNT_USERNAME_LABEL	Felhasználó név / ID
ACCOUNT_PASSWORD_LABEL	Jelszó
ACCOUNT_LOGIN	Bejelentkezés
ACCOUNT_YOUR_ACCLIST	Felhasználóid
SELECT_LANGUAGE_TITLE	Nyelv
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	Viseletek
COSTUME_TITLE	Kosztümablak megnyitása
SYSTEM_CHANNEL	Csatorna váltás
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	Offline boltom
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Életerő
PET_STAT2_NAME	Erő
PET_STAT3_NAME	Intelligencia
PET_STAT4_NAME	Agility
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Szörnyek elleni erő
MOUNT_STAT2_NAME	Védelem szörnyek ellen
MOUNT_STAT3_NAME	Metinkövek elleni erő
MOUNT_STAT4_NAME	Bossok elleni erő
CHARACTER_VALUE	Tulajdonságok
CHARACTER_STATISTIC	Bónuszok
CHAR_STAT_MVSPD	Mozgási sebesség:
CHAR_STAT_ATSPD	Támadási sebesség:
CHAR_STAT_SPSPD	Varázs sebesség:
CHAR_STAT_MAGIC_ATK	Mágikus támadás:
CHAR_STAT_NORMAL_ATK	Támadás:
CHAR_STAT_MAGIC_DEF	Mágikus védelem:
CHAR_STAT_NORMAL_DEF	Védelem:
CHAR_STAT_DODGE	Kitérés:
CHAR_MAIN_HP	(VIT) Életerő:
CHAR_MAIN_INT	(INT) Intelligencia:
CHAR_MAIN_STR	(STR) Erő:
CHAR_MAIN_DEX	(DEX) Ügyesség:
CHAR_MAIN_POINTS	Elérhető pontok:
CHARACTER_BONI_ATTACK	Támadás
CHARACTER_BONI_DEFENSE	Védelem
CHARACTER_BONI_PVM	Szörny (PVM)
CHARACTER_BONI_PVP	Játékos (PVP)
CHAR_HP	(HP) Életerő
CHAR_MP	(MP) Mana
CHAR_EXP_OF	/
CHARACTER_ANTI_EXP_ACTIVE	Jelenleg nem kapsz tapasztalatot
CHARACTER_ANTI_EXP_INACTIVE	Jelenleg kapsz tapasztalatot
QUEST_CATEGORIE_1	Általános
QUEST_CATEGORIE_2	Battle Pass
TASKBAR_OPEN_CHAT	Chat megnyitása
DRAGONSOUL_ACTIVATE	Aktiválás
DRAGONSOUL_REFINE_OPEN	Fejlesztés
DRAGONSOUL_PAGE_BUTTON_1	Nyers
DRAGONSOUL_PAGE_BUTTON_2	Metszett
DRAGONSOUL_PAGE_BUTTON_3	Ritka
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Legendás
DRAGONSOUL_REFINE_WINDOW_TITLE	Nemesítési ablak
DRAGONSOUL_TAP_TITLE_1	Sárkánygyémánt
DRAGONSOUL_TAP_TITLE_2	Sárkányrubin
DRAGONSOUL_TAP_TITLE_3	Sárkányjáde
DRAGONSOUL_TAP_TITLE_4	Sárkányzafír
DRAGONSOUL_TAP_TITLE_5	Sárkánygránát
DRAGONSOUL_TAP_TITLE_6	Sárkányónix
DRAGONSOUL_TITLE	Sárkánykõ-alkímia
GRADE_SELECT	Osztály
STEP_SELECT	Tisztasági minõség
STRENGTH_SELECT	Szint
DO_REFINE	Nemesít
GAYA_SHOP_TITLE	Gaya bolt
AUCTION_INFORMER_WINDOW_TITLE	Tárgy eladva
AUCTION_WINDOW_TITLE	Boltkereső
AUCTION_PAGE_BUTTON_BUY	Vásárlás
AUCTION_PAGE_BUTTON_SELL	Eladás
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Tárgy neve...
AUCTION_SEARCH_BUTTON_TEXT	Keres
AUCTION_SEARCH_RESET_BUTTON_TEXT	Visszaállít
AUCTION_LV_TEXT_1	Szint limit
AUCTION_LV_TEXT_2	-
AUCTION_PRICE_TEXT_1	Ár limit
AUCTION_PRICE_TEXT_2	-
AUCTION_PRICE_OVERLAY_2	- (nincs limit)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Csak aukcióra bocsájtott tárgyak megjelenítése
AUCTION_ONLY_SELF_CHECKBOX	Csak saját tárgyak megjelenítése
AUCTION_ORDER_TITLE	Rendezési beállítások
AUCTION_ORDER_BUTTON_NAME	Tárgynév
AUCTION_ORDER_BUTTON_PRICE	Ár
AUCTION_ORDER_BUTTON_DATE	Dátum beállítása
AUCTION_SELL_NO_ITEM_TEXT	Húzd ebbe az ablakba az eladni kívánt tárgyat.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	Az eladás funkció jelenleg ki van kapcsolva az aukciós házban.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Adj meg egy árat...
AUCTION_SELL_ITEM_BUTTON	Beállít
AUCTION_SELL_PRICE_TAX_INFO	Az aukciós házban elhelyezett tárgyak 9%-al meg lesznek adóztatva. A megjelenített ár az, amit a játékosnak fizetnie kell. Az utána következő érték mutatja azt, hogy mennyi yangot kapsz a tárgy eladása után.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Tíz oldallal vissza
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Tíz oldallal előre
AUCTION_RACE_TEXT	Osztály
AUCTION_RACE_TEXT_1	Harcos
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Sámán
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Csökkentett mód
MINI_GAME_RUMI_EXIT	Vége
MINI_GAME_RUMI_LBUTTON_DESC	Bal kattintás kártya hozzáadásához
MINI_GAME_RUMI_RBUTTON_DESC	Jobb kattintás kártya elvetéséhez
MINI_GAME_RUMI_SCORE	Pontszám
MINI_GAME_RUMI_START_TEXT	Kezdés
MINI_GAME_RUMI_TITLE	Metin2 Okey kártyajáték
OPTION_ITEM_HIGHLIGHT	Új tárgyak
OPTION_ITEM_HIGHLIGHT_ON	Megjelöl
OPTION_ITEM_HIGHLIGHT_OFF	Semmi
OPTION_GOLD_PICKUP	Yang üzenet
OPTION_GOLD_PICKUP_ON	Akítv
OPTION_GOLD_PICKUP_OFF	Inaktív
WEB_LOADING_TITLE	Böngésző betöltése...
WEB_LOADING_DESC	Egy kis türelmet kérünk...
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	Felvétel tiltása
OPTION_DISABLE_PICKUP_ARMOR	Vért
OPTION_DISABLE_PICKUP_WEAPON	Fegyverek
OPTION_DISABLE_PICKUP_ETC	Ékszer
GUILD_DRAGONLAIR_RANKING	Helyezések
GUILD_DRAGONLAIR_RANKING_COUNT	Rang
GUILD_DRAGONLAIR_RANKING_MEMBER	Tag
GUILD_DRAGONLAIR_RANKING_NAME	Céh
GUILD_DRAGONLAIR_RANKING_TIME	Idõ
FAKEBUFF_SKILL_TITLE	Buffos-képességek
ATTRTREE_TITLE_1	Harcos
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Sámán
ATTRTREE_TITLE_5	Speciális
ATTRTREE_TITLE_6	Szörny
ATTRTREE_REFINE_TITLE	Fejlesztés
ATTRTREE_REFINE_UPGRADE	Fejleszt
ATTRTREE_REFINE_CANCEL	Mégse
SELECT_METIN_DETACH_TITLE	Kő eltávolítása
SELECT_METIN_DETACH_INFO	Válaszd ki a követ, amit el szeretnél távolítani.
SELECT_METIN_DETACH_BUTTON	Eltávolít
SELECT_ATTR_DETACH_TITLE	Bónusz eltávolítása
SELECT_ATTR_DETACH_INFO	Válaszd ki az eltávolítandó bónuszt.
SELECT_ATTR_DETACH_BUTTON	Eltávolít
QUEST_CATEGORIE_3	Alkalmi Battle Pass
QUEST_CATEGORIE_4	Korlátlan Battle Pass
OFFLINE_SHOP_RENEW_BUTTON	Megújít
DO_REFINE_ALL	Összes finomítása
OPTION_QUEST_LETTER	Küldetés levelek
OPTION_QUEST_LETTER_SHOW	Mutat
OPTION_QUEST_LETTER_HIDE	Elrejt
OPTION_PICKUP_ALL	Felvétel
OPTION_PICKUP_FAST	Összes
OPTION_PICKUP_SLOW	Single
SHOP_SEARCH_SORT_DESC	Rendezés
SHOP_SEARCH_SORT_ALPHA_AZ	Név szerint - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Név szerint - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Ár szerint növekvő
SHOP_SEARCH_SORT_PRICE_DESC	Ár szerint csökkenő
SHOP_SEARCH_CAT_DESC	Kategóriák
SHOP_SEARCH_CAT_ALL	Összes
SHOP_SEARCH_CAT_WEAPON	Fegyverek
SHOP_SEARCH_CAT_ARMOR	Páncél
SHOP_SEARCH_CAT_JEWELLERY	Ékszer
SHOP_SEARCH_CAT_TALISMAN	Talizmán
SHOP_SEARCH_CAT_DRAGONSOUL	Sárkánykő alkímia
SHOP_SEARCH_CAT_COSTUME	Jelmez
SHOP_SEARCH_CAT_COSTUME_BONI	Jelmez bónusz
SHOP_SEARCH_CAT_SKILLS	Képességek
SHOP_SEARCH_CAT_POTIONS	Italok
SHOP_SEARCH_CAT_USABLE	Consumption Items
SHOP_SEARCH_CAT_FISHS	Hal
SHOP_SEARCH_CAT_MOUNTS	Hátasok
SHOP_SEARCH_CAT_PETS	Társ
SHOP_SEARCH_CAT_OWNED	Tárgyaim
LOGIN_SHRINK	Shrink
LOGIN_EXTEND	Expand
OPTION_USENIGHT	Éjjeli mód
OPTION_CAMERA_DISTANCE_HUGE	Nagyon messzi
SPLIT_ITEM	Complete split
PLAYER_SELECT_HAIR_TITLE	Hajstílus választás
EVENT_JOIN_TITLE	Csatlakozás az eseményhez
EVENT_JOIN_ACCEPT_BUTTON	Teleportálás
EVENT_JOIN_DECLINE_BUTTON	Elutasít
OPTION_SHOP_TITLE	Bolt név
REFINE_FAST_CHECK	Ne zárd be az ablakot
GUILD_MEMBER_MELEY	Melej Barlangjának indítása
COMB_TITLE	Jelmez bónusz transzfer
COMB_APPEARANCE	Jelmez1
COMB_ATTRIBUTE	Jelmez2 
