ACCE_ABSORB	Bonus absorpce
TASKBAR_PREV_QUICKSLOT	Pøedchozí pole rychlého pøístupu [Shift+èíslice]
TASKBAR_SYSTEM	Nastavení [ESC]
WHISPER_BAN	Blokovat
WHISPER_NAME	Šeptat
WHISPER_REPORT	Nahlášení
WHISPER_SEND	Poslat
YES	Ano
ZONE_MAP	Velká mapa
INVENTORY_SORT	Seřadit
GUILD_SAFE_TITLE	Cechovní sklad
GUILD_SAFEBOX_MONEY_TITLE	Cechovní sklad - Yangy
GUILD_SAFEBOX_MONEY_INFO_TEXT	Kolik Yang chcete vložit nebo vybrat?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Vklad
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Vyzvednout
GUILD_SAFE_LOG_TITLE	Historie cehovního skladu
GUILD_SAFE_LOG_BUTTON	Logy
ACCOUNT_PASSWORD_Q	Zapomněl jsi?
BDAY_EVENT_DESC_D1	Zabijte většinu Bossů
ACCOUNT_USERNAME_Q	Zapomněli jste název účtu?
ACCOUNT_REGISTER	Registrovat?
ACCOUNT_REGISTER_Q	Nemáte účet?
ACCOUNT_CHANNEL	Kanál %d
ACCOUNT_USERNAME_LABEL	Název účtu / ID
ACCOUNT_PASSWORD_LABEL	Heslo
ACCOUNT_LOGIN	Přihlásit se
ACCOUNT_YOUR_ACCLIST	Vaše účty
SELECT_LANGUAGE_TITLE	Jazyk
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	Kostýmy
COSTUME_TITLE	Otevřít kostými
SYSTEM_CHANNEL	Zmeni
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	Můj offline stánek
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Vitalita
PET_STAT2_NAME	Síla
PET_STAT3_NAME	Inteligence
PET_STAT4_NAME	Agility
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Silný proti příšerám
MOUNT_STAT2_NAME	Obrana proti příšerám
MOUNT_STAT3_NAME	Silný proti metinům
MOUNT_STAT4_NAME	Silný proti bossům
CHARACTER_VALUE	Vlastnosti
CHARACTER_STATISTIC	Bonusy
CHAR_STAT_MVSPD	Rýchlost pohybu
CHAR_STAT_ATSPD	Rýchlo útoku:
CHAR_STAT_SPSPD	Rýchlost kouzla:
CHAR_STAT_MAGIC_ATK	Magický útok:
CHAR_STAT_NORMAL_ATK	Normálni útok:
CHAR_STAT_MAGIC_DEF	Magická obrana:
CHAR_STAT_NORMAL_DEF	Normální obrana:
CHAR_STAT_DODGE	Vyhnout se:
CHAR_MAIN_HP	(VIT) Vitalita
CHAR_MAIN_INT	(INT) Inteligence:
CHAR_MAIN_STR	(STR) Síla
CHAR_MAIN_DEX	(DEX) Pohyblivost:
CHAR_MAIN_POINTS	Body k použití:
CHARACTER_BONI_ATTACK	Útok
CHARACTER_BONI_DEFENSE	Obrana
CHARACTER_BONI_PVM	Příšera (PvM)
CHARACTER_BONI_PVP	Hráč (PvP)
CHAR_HP	(ZB) Životy
CHAR_MP	(MB) Mana
CHAR_EXP_OF	Za
CHARACTER_ANTI_EXP_ACTIVE	Získavaní zkušeností je vypnuté
CHARACTER_ANTI_EXP_INACTIVE	Získavaní zkušeností je zapnuté
QUEST_CATEGORIE_1	Hlavní
QUEST_CATEGORIE_2	Battlepass
TASKBAR_OPEN_CHAT	Otevřete chat
DRAGONSOUL_ACTIVATE	Aktivovat
DRAGONSOUL_REFINE_OPEN	Zlepšit
DRAGONSOUL_PAGE_BUTTON_1	Surový
DRAGONSOUL_PAGE_BUTTON_2	Broušený
DRAGONSOUL_PAGE_BUTTON_3	Vzácný
DRAGONSOUL_PAGE_BUTTON_4	Starovìký
DRAGONSOUL_PAGE_BUTTON_5	Legendární
DRAGONSOUL_REFINE_WINDOW_TITLE	Okno zušlechování
DRAGONSOUL_TAP_TITLE_1	Draèí diamant
DRAGONSOUL_TAP_TITLE_2	Draèí rubín
DRAGONSOUL_TAP_TITLE_3	Draèí nefrit
DRAGONSOUL_TAP_TITLE_4	Draèí safír
DRAGONSOUL_TAP_TITLE_5	Draèí granát
DRAGONSOUL_TAP_TITLE_6	Draèí onyx
DRAGONSOUL_TITLE	Alchymie Draèích kamenù
GRADE_SELECT	Stupeò
STEP_SELECT	Stupeò èirosti
STRENGTH_SELECT	Úroveò
DO_REFINE	Zušlechtit
GAYA_SHOP_TITLE	Gaya Obchod
AUCTION_INFORMER_WINDOW_TITLE	Item prodán
AUCTION_WINDOW_TITLE	Vyhledat v obchodě
AUCTION_PAGE_BUTTON_BUY	Koupit
AUCTION_PAGE_BUTTON_SELL	Prodat
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Název itemu...
AUCTION_SEARCH_BUTTON_TEXT	Hledat
AUCTION_SEARCH_RESET_BUTTON_TEXT	Restartovat
AUCTION_LV_TEXT_1	Limit úrovně
AUCTION_LV_TEXT_2	to
AUCTION_PRICE_TEXT_1	Limit nákladů
AUCTION_PRICE_TEXT_2	to
AUCTION_PRICE_OVERLAY_2	-(nekonečno)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Zobrazit pouze itemy aukčního domu
AUCTION_ONLY_SELF_CHECKBOX	Zobrazit pouze své vlastní itemy
AUCTION_ORDER_TITLE	Možnosti upořádaní
AUCTION_ORDER_BUTTON_NAME	Názov itemu
AUCTION_ORDER_BUTTON_PRICE	Cena
AUCTION_ORDER_BUTTON_DATE	Datum pronájmu
AUCTION_SELL_NO_ITEM_TEXT	Přetáhněte item do tohoto okna k prodeji.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	Pro aukční dům je v současné době zakázána možnost prodeje.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Zadejte cenu ...
AUCTION_SELL_ITEM_BUTTON	Zvolit
AUCTION_SELL_PRICE_TAX_INFO	Za položky umístěné v aukčním domě bude účtována daň ve výši 9%. Zobrazená cena je hodnota, kterou musí hráč zaplatit. Hodnota po obdržení ukazuje, kolik yangů získáte, když prodáváte.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Deset stran zpět
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	O deset stránek dále
AUCTION_RACE_TEXT	Třída
AUCTION_RACE_TEXT_1	Válečník
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Šaman
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Zabezpeèený mód
MINI_GAME_RUMI_EXIT	Konec
MINI_GAME_RUMI_LBUTTON_DESC	Levý klik pro pøidání karty
MINI_GAME_RUMI_RBUTTON_DESC	Pravý klik pro zahození karty
MINI_GAME_RUMI_SCORE	Skóre
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin 2 - karetní hra Okey
OPTION_ITEM_HIGHLIGHT	Nové přeměty
OPTION_ITEM_HIGHLIGHT_ON	Označit
OPTION_ITEM_HIGHLIGHT_OFF	Nic
OPTION_GOLD_PICKUP	Zpráva o zběru Yangů
OPTION_GOLD_PICKUP_ON	Aktivní
OPTION_GOLD_PICKUP_OFF	Neaktivní
WEB_LOADING_TITLE	Načítání prohlížeče...
WEB_LOADING_DESC	Prosím, chvilku trpělivosti
ANTIEXP_TOOLTIP	Prsten skušeností (zap./vyp.)
OPTION_DISABLE_PICKUP	Nezdvihni
OPTION_DISABLE_PICKUP_ARMOR	Brnění
OPTION_DISABLE_PICKUP_WEAPON	Zbraně
OPTION_DISABLE_PICKUP_ETC	Šperky
GUILD_DRAGONLAIR_RANKING	Hodnocení
GUILD_DRAGONLAIR_RANKING_COUNT	Hodn.
GUILD_DRAGONLAIR_RANKING_MEMBER	Èlen
GUILD_DRAGONLAIR_RANKING_NAME	Cech
GUILD_DRAGONLAIR_RANKING_TIME	Èas
FAKEBUFF_SKILL_TITLE	Kúzla Buffky (Buffi)
ATTRTREE_TITLE_1	Válečník
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Šaman
ATTRTREE_TITLE_5	Speciální
ATTRTREE_TITLE_6	Příšera
ATTRTREE_REFINE_TITLE	Zlepšit
ATTRTREE_REFINE_UPGRADE	Zlepšit
ATTRTREE_REFINE_CANCEL	Ukončit
SELECT_METIN_DETACH_TITLE	Odstraňte kámen
SELECT_METIN_DETACH_INFO	Vyberte kámen, který chcete odstranit.
SELECT_METIN_DETACH_BUTTON	Odstranit
SELECT_ATTR_DETACH_TITLE	Odstránit bonus
SELECT_ATTR_DETACH_INFO	Vyberte bonus, který chcete odebrat.
SELECT_ATTR_DETACH_BUTTON	Odstranit
QUEST_CATEGORIE_3	Událostní Battlepass
QUEST_CATEGORIE_4	Nekonečný Battlepass
OFFLINE_SHOP_RENEW_BUTTON	Obnovit
DO_REFINE_ALL	Vylepšit vše
OPTION_QUEST_LETTER	Úkolové dopisy
OPTION_QUEST_LETTER_SHOW	Ukázat
OPTION_QUEST_LETTER_HIDE	Skrýt
OPTION_PICKUP_ALL	Sebrat
OPTION_PICKUP_FAST	All
OPTION_PICKUP_SLOW	Single
SHOP_SEARCH_SORT_DESC	Seřadit
SHOP_SEARCH_SORT_ALPHA_AZ	Abecedně - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Abecedně - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Jednotná cena vzestupně
SHOP_SEARCH_SORT_PRICE_DESC	Jednotná cena sestupně
SHOP_SEARCH_CAT_DESC	Kategorie
SHOP_SEARCH_CAT_ALL	All
SHOP_SEARCH_CAT_WEAPON	Zbraně
SHOP_SEARCH_CAT_ARMOR	Brnění
SHOP_SEARCH_CAT_JEWELLERY	Šperky
SHOP_SEARCH_CAT_TALISMAN	Talisman
SHOP_SEARCH_CAT_DRAGONSOUL	Dračí alchymie
SHOP_SEARCH_CAT_COSTUME	Kostým
SHOP_SEARCH_CAT_COSTUME_BONI	Bonus (kostým)
SHOP_SEARCH_CAT_SKILLS	Kouzla
SHOP_SEARCH_CAT_POTIONS	Lektvary
SHOP_SEARCH_CAT_USABLE	Spotřební položky
SHOP_SEARCH_CAT_FISHS	Ryby
SHOP_SEARCH_CAT_MOUNTS	Jezdevké zvířata
SHOP_SEARCH_CAT_PETS	Společník
SHOP_SEARCH_CAT_OWNED	Moje itemy
LOGIN_SHRINK	Zmenšit
LOGIN_EXTEND	Rozšířit
OPTION_USENIGHT	Noční režim
OPTION_CAMERA_DISTANCE_HUGE	Extra daleko
SPLIT_ITEM	Kompletní rozdělení
PLAYER_SELECT_HAIR_TITLE	Volba účesu
EVENT_JOIN_TITLE	Připojte se k události
EVENT_JOIN_ACCEPT_BUTTON	Teleport
EVENT_JOIN_DECLINE_BUTTON	Odmítnout
